,Symbol,Time,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4
260,EURUSD,19-10-2014 21:00,Sell,1.28,1.27996,1.28401,1.27144,1.27157,1.27156,1.27396,1.2637200000000002,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688
110,EURUSD,19-10-2014 21:00,Sell,1.28,1.27996,1.28401,1.27144,1.27157,1.27156,1.27396,1.2637200000000002,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688
36,EURUSD,19-10-2014 21:00,Sell,1.28,1.27996,1.28401,1.27144,1.27157,1.27156,1.27396,1.2637200000000002,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688
111,EURUSD,20-10-2014 00:00,Buy,1.27157,1.27156,1.27396,1.2637200000000002,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688,1.26754,1.27231,1.26657,1.2698
335,EURUSD,20-10-2014 00:00,Buy,1.27157,1.27156,1.27396,1.2637200000000002,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688,1.26754,1.27231,1.26657,1.2698
37,EURUSD,20-10-2014 00:00,Buy,1.27157,1.27156,1.27396,1.2637200000000002,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688,1.26754,1.27231,1.26657,1.2698
261,EURUSD,20-10-2014 00:00,Buy,1.27157,1.27156,1.27396,1.2637200000000002,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688,1.26754,1.27231,1.26657,1.2698
112,EURUSD,21-10-2014 21:00,Sell,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688,1.26754,1.27231,1.26657,1.2698,1.26979,1.2764799999999998,1.26845,1.27342
336,EURUSD,21-10-2014 21:00,Sell,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688,1.26754,1.27231,1.26657,1.2698,1.26979,1.2764799999999998,1.26845,1.27342
38,EURUSD,21-10-2014 21:00,Sell,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688,1.26754,1.27231,1.26657,1.2698,1.26979,1.2764799999999998,1.26845,1.27342
262,EURUSD,21-10-2014 21:00,Sell,1.26483,1.26483,1.26766,1.26137,1.26457,1.26458,1.26957,1.26349,1.26688,1.26754,1.27231,1.26657,1.2698,1.26979,1.2764799999999998,1.26845,1.27342
39,EURUSD,27-10-2014 00:00,Buy,1.27342,1.27338,1.27705,1.26307,1.26311,1.26313,1.26394,1.25474,1.26129,1.26132,1.26173,1.2486,1.25224,1.2506700000000002,1.25138,1.24396,1.24811
337,EURUSD,27-10-2014 00:00,Buy,1.27342,1.27338,1.27705,1.2630700000000001,1.26311,1.2631299999999999,1.26394,1.25474,1.26129,1.26132,1.26173,1.2486,1.25224,1.2506700000000002,1.25138,1.24396,1.24811
263,EURUSD,27-10-2014 00:00,Buy,1.27342,1.27338,1.27705,1.26307,1.26311,1.26313,1.26394,1.25474,1.26129,1.26132,1.26173,1.2486,1.25224,1.2506700000000002,1.25138,1.24396,1.24811
113,EURUSD,27-10-2014 00:00,Buy,1.27342,1.27338,1.27705,1.2630700000000001,1.26311,1.2631299999999999,1.26394,1.25474,1.26129,1.26132,1.26173,1.2486,1.25224,1.2506700000000002,1.25138,1.24396,1.24811
114,EURUSD,28-10-2014 21:00,Sell,1.26311,1.2631299999999999,1.26394,1.25474,1.26129,1.26132,1.26173,1.2486,1.25224,1.2506700000000002,1.25138,1.24396,1.24811,1.2482,1.25773,1.24804,1.2546
338,EURUSD,28-10-2014 21:00,Sell,1.26311,1.2631299999999999,1.26394,1.25474,1.26129,1.26132,1.26173,1.2486,1.25224,1.2506700000000002,1.25138,1.24396,1.24811,1.2482,1.25773,1.24804,1.2546
264,EURUSD,28-10-2014 21:00,Sell,1.26311,1.26313,1.26394,1.25474,1.26129,1.26132,1.26173,1.2486,1.25224,1.2506700000000002,1.25138,1.24396,1.24811,1.2482,1.25773,1.24804,1.2546
40,EURUSD,28-10-2014 21:00,Sell,1.26311,1.26313,1.26394,1.25474,1.26129,1.26132,1.26173,1.2486,1.25224,1.2506700000000002,1.25138,1.24396,1.24811,1.2482,1.25773,1.24804,1.2546
194,EURJPY,30-10-2014 00:00,Buy,140.635,140.945,142.561,140.399,142.33100000000005,142.333,142.616,141.69899999999996,142.513,142.513,143.447,142.35399999999996,143.129,143.12,144.221,142.187,142.556
115,EURUSD,18-11-2014 00:00,Buy,1.25537,1.25534,1.25752,1.25042,1.25389,1.25389,1.25682,1.2375,1.23871,1.23627,1.2444600000000001,1.23622,1.24421,1.24421,1.2486899999999999,1.2401799999999998,1.2474
41,EURUSD,18-11-2014 00:00,Buy,1.25537,1.25534,1.25752,1.25042,1.25389,1.25389,1.25682,1.2375,1.23871,1.23627,1.24446,1.23622,1.24421,1.24421,1.24869,1.2401799999999998,1.2474
265,EURUSD,18-11-2014 00:00,Buy,1.25537,1.25534,1.25752,1.25042,1.25389,1.25389,1.25682,1.2375,1.23871,1.23627,1.24446,1.23622,1.24421,1.24421,1.24869,1.2401799999999998,1.2474
339,EURUSD,18-11-2014 00:00,Buy,1.25537,1.25534,1.25752,1.25042,1.25389,1.25389,1.25682,1.2375,1.23871,1.23627,1.2444600000000001,1.23622,1.24421,1.24421,1.2486899999999999,1.2401799999999998,1.2474
42,EURUSD,20-11-2014 22:00,Sell,1.23871,1.23627,1.24446,1.23622,1.24421,1.24421,1.24869,1.2401799999999998,1.2474,1.2474,1.25312,1.24437,1.25055,1.25053,1.25235,1.24646,1.24669
116,EURUSD,20-11-2014 22:00,Sell,1.23871,1.23627,1.2444600000000001,1.23622,1.24421,1.24421,1.2486899999999999,1.2401799999999998,1.2474,1.2474,1.25312,1.24437,1.25055,1.25053,1.25235,1.2464600000000001,1.2466899999999999
340,EURUSD,20-11-2014 22:00,Sell,1.23871,1.23627,1.2444600000000001,1.23622,1.24421,1.24421,1.2486899999999999,1.2401799999999998,1.2474,1.2474,1.25312,1.24437,1.25055,1.25053,1.25235,1.2464600000000001,1.2466899999999999
266,EURUSD,20-11-2014 22:00,Sell,1.23871,1.23627,1.24446,1.23622,1.24421,1.24421,1.24869,1.2401799999999998,1.2474,1.2474,1.25312,1.24437,1.25055,1.25053,1.25235,1.24646,1.24669
184,EURJPY,01-12-2014 22:00,Sell,140.793,140.793,142.63,140.741,142.549,142.55100000000004,142.608,141.799,142.239,142.244,142.909,141.708,142.113,142.114,142.161,140.97,141.19899999999996
