Date,Open,High,Low,Close,Volume,ADL,OBV,+DI14,-DI14,ADX,MACD Line,Signal Line,MACD Histogram,RSI
2010-07-15,11.15,11.25,11.15,11.25,10726,21452.0,-424406,29.295317852035787,35.45543440628175,8.64651061291727,-0.07709245434722156,11.239527360208573,-11.316619814555795,55.916261631232544
2010-07-16,11.2,11.25,11.2,11.25,1300,2600.0,-424406,28.69884936400765,34.73354261935834,8.708444354303115,-0.0713072981775067,11.241621888170833,-11.31292918634834,57.734218918170974
2010-07-19,11.0,11.0,11.0,11.0,1000,,-425406,25.863354704072535,39.20594485921821,9.551069773055476,-0.08588827410289568,11.193297510463324,-11.27918578456622,56.14291980663906
2010-07-21,11.2,11.2,11.2,11.2,2000,,-423406,31.67894228738957,36.130467068102035,9.337761910961413,-0.08039114445452356,11.194638008372289,-11.275029152826813,56.37995545923444
2010-07-22,11.2,11.2,11.2,11.2,5000,,-423406,31.67894228738957,36.130467068102035,9.139690324731212,-0.07516807115103674,11.195710406698874,-11.27087847784991,58.193087656035104
2010-07-27,11.2,11.2,11.2,11.2,100,,-423406,31.67894228738957,36.130467068102035,8.955766708946026,-0.07021924608600294,11.196568325359765,-11.266787571445768,59.98434497929182
2010-07-30,11.25,11.25,11.2,11.2,4000,-8000.0,-423406,33.312370341715294,35.26665552154811,8.519617907822356,-0.0655416929126229,11.19725466028824,-11.262796353200862,61.74930121882195
2010-08-03,11.25,11.25,11.25,11.25,2000,,-421406,32.476198948204335,34.38142975738217,8.114622592493234,-0.05714367438453216,11.207803728235838,-11.26494740262037,60.49682031638958
2010-08-04,11.2,11.2,11.2,11.2,10900,,-432306,31.621416159588257,36.10852918014532,8.008221415541408,-0.053899292191903925,11.206242982588051,-11.260142274779955,61.44364761970828
2010-08-09,11.2,11.2,11.2,11.2,5000,,-432306,31.621416159588257,36.10852918014532,7.909420322657569,-0.050743127522387965,11.204994386070043,-11.25573751359243,63.18374382809552
2010-08-11,12.0,12.0,11.05,11.05,9540,-19080.0,-441846,50.92587284734499,22.85377861398618,10.062215944123238,-0.059652407177761546,11.17399550884814,-11.233647916025902,62.32185058667577
2010-08-12,11.25,11.25,11.25,11.25,5000,,-436846,47.013207393939595,21.097909051754797,12.06124044976993,-0.050005047499798394,11.189196407081608,-11.239201454581407,62.63042149934492
2010-08-16,11.2,11.2,11.2,11.2,5000,,-441846,46.06043973627205,22.69693546465002,13.626839971447156,-0.04586376378041379,11.191357125665638,-11.237220889446052,63.494414322000594
2010-08-17,11.2,11.2,11.2,11.2,5000,,-441846,46.06043973627205,22.69693546465002,15.080610955861724,-0.04209648884460471,11.193085700532736,-11.23518218937734,65.19438518932444
2010-08-19,11.2,11.2,11.2,11.2,21225,,-441846,46.06043973627205,22.69693546465002,16.430541155675254,-0.03866517484116194,11.194468560426332,-11.233133735267494,66.85651527375468
2010-08-24,11.35,11.35,11.25,11.25,7000,-14000.0,-434846,49.8672722134233,21.095079041716993,18.153053620888585,-0.0315488170369953,11.205574848341993,-11.237123665378988,65.6975544405982
2010-08-25,11.2,11.2,11.2,11.2,5000,,-439846,48.635104994187465,23.044735654677275,19.406473322926775,-0.02960125437315142,11.204459878673521,-11.234061133046673,66.36419557967822
2010-08-26,11.2,11.25,11.2,11.25,15235,30470.0,-424611,49.9664781474302,22.447418316235506,20.734757867892565,-0.023750497808821436,11.213567902939303,-11.237318400748125,65.2235362495532
2010-08-27,11.25,11.4,11.0,11.05,58265,-87397.4999999996,-482876,40.845313510862766,27.477023023586916,20.65131093057042,-0.03484640044760923,11.180854322350047,-11.215700722797656,62.98422295461799
2010-08-30,11.2,11.2,11.2,11.2,1850,,-481026,38.040922619844046,25.59048313794824,20.573824488771287,-0.031179538160873932,11.184683457880169,-11.215862996041043,62.93795335951432
